@relation STORM_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute NR numeric
@attribute LOC_Added numeric
@attribute Max_LOC_Added numeric
@attribute Avg_LOC_Added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Avg_Churn numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Bugginess {No,Yes}

@data
1,156,1,1,17,17,17,17,17,17,565,565,565,No
1,90,1,1,17,17,17,17,17,17,565,565,565,No
1,54,2,2,18,17,9,17,17,9,778,565,389,No
1,124,1,1,17,17,17,17,17,17,565,565,565,No
1,149,34,4,203,106,51,256,160,64,608,565,152,No
1,103,1,1,17,17,17,17,17,17,565,565,565,No
1,161,1,1,17,17,17,17,17,17,565,565,565,No
1,416,11,7,447,397,64,919,433,131,904,564,129,No
1,375,1,1,17,17,17,17,17,17,565,565,565,No
1,374,1,1,17,17,17,17,17,17,565,565,565,No
1,813,1,1,17,17,17,17,17,17,565,565,565,No
1,112,2,2,18,17,9,17,17,9,778,565,389,No
1,183,1,1,17,17,17,17,17,17,565,565,565,No
1,174,1,1,17,17,17,17,17,17,565,565,565,No
1,123,1,1,17,17,17,17,17,17,565,565,565,No
1,87,1,1,17,17,17,17,17,17,565,565,565,No
1,65,1,1,17,17,17,17,17,17,565,565,565,No
1,125,1,1,17,17,17,17,17,17,565,565,565,No
1,113,1,1,17,17,17,17,17,17,565,565,565,No
1,95,1,1,17,17,17,17,17,17,565,565,565,No
1,218,1,1,17,17,17,17,17,17,565,565,565,No
1,80,1,1,17,17,17,17,17,17,565,565,565,No
1,107,1,1,17,17,17,17,17,17,565,565,565,No
1,73,1,1,17,17,17,17,17,17,565,565,565,No
1,76,1,1,17,17,17,17,17,17,565,565,565,No
1,92,1,1,17,17,17,17,17,17,565,565,565,No
1,77,1,1,17,17,17,17,17,17,565,565,565,No
1,201,1,1,17,17,17,17,17,17,565,565,565,No
1,138,1,1,17,17,17,17,17,17,565,565,565,No
1,75,5,2,25,17,13,38,21,19,613,563,307,No
1,79,1,1,17,17,17,17,17,17,565,565,565,No
1,120,1,1,17,17,17,17,17,17,565,565,565,No
1,109,1,1,17,17,17,17,17,17,565,565,565,No
1,185,1,1,17,17,17,17,17,17,565,565,565,No
