@relation BOOKKEEPER_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute NR numeric
@attribute LOC_Added numeric
@attribute Max_LOC_Added numeric
@attribute Avg_LOC_Added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Avg_Churn numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Bugginess {No,Yes}

@data
1,744,34,5,82,21,16,150,41,30,834,272,167,Yes
1,63,3,1,4,2,4,0,0,0,272,272,272,No
1,64,1,1,1,1,1,0,0,0,272,272,272,No
1,124,3,1,3,1,3,0,0,0,272,272,272,No
1,172,18,5,30,5,6,62,15,12,795,272,159,Yes
1,36,5,2,7,2,4,0,0,0,590,318,295,Yes
1,58,2,1,3,2,3,1,1,1,317,317,317,No
1,132,13,4,17,3,4,10,3,3,692,272,173,Yes
1,74,3,2,4,2,2,1,1,1,571,317,286,Yes
1,83,3,2,4,2,2,2,1,1,423,272,212,No
1,48,2,1,2,1,2,0,0,0,321,321,321,No
1,60,1,1,1,1,1,0,0,0,272,272,272,No
1,86,9,3,24,15,8,48,16,16,627,272,209,No
1,355,33,6,341,132,57,1241,307,207,850,272,142,Yes
1,612,44,7,216,61,31,928,180,133,935,197,134,No
1,78,4,1,4,1,4,0,0,0,272,272,272,No
1,85,3,2,26,22,13,46,23,23,495,272,248,Yes
1,31,1,1,1,1,1,0,0,0,272,272,272,No
1,57,4,1,4,1,4,0,0,0,272,272,272,No
1,108,8,2,11,4,6,8,4,4,495,272,248,Yes
1,32,1,1,1,1,1,0,0,0,433,433,433,Yes
1,227,19,2,65,18,33,26,25,13,423,272,212,No
1,201,10,4,25,11,6,45,14,11,603,272,151,No
1,80,6,2,11,5,6,10,5,5,495,272,248,Yes
1,57,2,2,7,5,4,10,5,5,495,272,248,Yes
1,446,31,4,127,24,32,115,80,29,787,272,197,Yes
1,104,28,1,30,2,30,0,0,0,272,272,272,No
1,35,1,1,1,1,1,0,0,0,433,433,433,Yes
1,98,1,1,1,1,1,0,0,0,272,272,272,No
1,79,4,2,16,12,8,2,1,1,423,272,212,No
1,58,2,1,3,2,3,1,1,1,272,272,272,No
1,230,17,2,20,3,10,0,0,0,435,272,218,Yes
1,154,11,5,43,15,9,111,35,22,835,272,167,Yes
1,251,10,5,74,41,15,250,62,50,792,272,158,Yes
1,63,3,2,4,2,2,3,2,2,596,317,298,Yes
1,130,5,3,6,2,2,5,2,2,602,279,201,No
1,74,5,3,12,5,4,22,9,7,711,272,237,Yes
1,166,9,1,11,2,11,0,0,0,272,272,272,No
1,726,45,5,105,14,21,199,56,40,838,272,168,Yes
1,265,10,3,180,150,60,516,172,172,549,272,183,Yes
1,261,13,3,18,2,6,3,1,1,700,272,233,Yes
1,241,41,10,184,34,18,1307,161,131,932,200,93,No
1,124,3,2,14,12,7,24,12,12,540,272,270,No
1,48,7,1,7,1,7,0,0,0,272,272,272,No
1,76,2,1,3,2,3,0,0,0,272,272,272,No
1,139,5,2,13,6,7,20,10,10,575,303,288,No
1,306,5,2,6,2,3,2,1,1,423,272,212,No
1,268,9,1,9,1,9,0,0,0,272,272,272,No
1,52,1,1,1,1,1,0,0,0,272,272,272,No
1,208,21,3,23,2,8,10,4,3,924,326,308,No
1,64,1,1,2,2,2,0,0,0,272,272,272,No
1,315,6,3,8,2,3,9,4,3,462,272,154,No
1,92,1,1,1,1,1,0,0,0,272,272,272,No
2,215,20,2,50,16,25,44,38,22,172,111,86,No
2,271,11,1,24,11,24,11,11,11,147,147,147,No
2,458,64,6,145,14,24,179,69,30,629,266,105,No
2,137,12,3,134,34,45,146,73,49,488,212,163,No
2,357,121,8,526,83,66,1773,300,222,1229,303,154,No
2,163,27,6,97,63,16,375,78,63,1002,373,167,No
2,1242,435,53,3338,1027,63,50217,2438,947,2339,197,44,No
