Project,Version,Filename,Size,LOC_Touched,NR,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,Max_Churn,Avg_Churn,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Bugginess
STORM,1,storm-core/src/jvm/backtype/storm/testing/FeederSpout.java,100,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/FixedTuple.java,42,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/FixedTupleSpout.java,179,8,2,40,17,20,54,37,27,619,563,310,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/IdentityBolt.java,42,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/KeyedCountingBatchBolt.java,61,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/KeyedCountingCommitterBolt.java,24,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/KeyedSummingBatchBolt.java,61,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/MemoryTransactionalSpout.java,181,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/MemoryTransactionalSpoutMeta.java,38,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/MkClusterParam.java,57,1,1,57,57,57,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/MkTupleParam.java,51,1,1,51,51,51,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/MockedSources.java,60,1,1,60,60,60,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/NGrouping.java,50,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/NonRichBoltTracker.java,51,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/OpaqueMemoryTransactionalSpout.java,186,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/PrepareBatchBolt.java,52,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/SpoutTracker.java,105,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/TestAggregatesCounter.java,63,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/TestConfBolt.java,62,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/TestGlobalCount.java,60,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/TestJob.java,41,1,1,41,41,41,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/TestKryoDecorator.java,31,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/TestPlannerBolt.java,45,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/TestPlannerSpout.java,85,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/TestSerObject.java,37,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/TestWordCounter.java,61,1,1,17,17,17,17,17,17,565,565,565,No
